"","Ma","DTT_PC1","DTT_PC2","DTT_PC3"
"",2.390334,1,1,1
"53",2.390334,0.967150512162234,1.00091103436147,1.0065085522577
"54",2.28137702692245,0.982733474301953,0.989119496138075,1.02624124096509
"55",2.0757712694519,0.95647880466832,1.00604406842711,0.99977821057451
"56",1.90612379809964,0.550221509346992,0.844676838706586,0.76753474414039
"58",1.43587812333855,0.557649733519721,0.850302727395759,0.771145833017329
"59",1.36595945367318,0.544950312726352,0.861603620801092,0.782952576573565
"57",1.31646037792824,0.92627280613332,1.06848301390406,1.06297393614382
"60",1.26076958628616,0.462054067880414,1.160482905519,0.674976624939303
"65",1.17362024449517,0.471439879976697,1.14636989106623,0.673887721170214
"66",1.13910444799346,0.47398147077664,1.15029440299518,0.670704196334135
"61",1.13064553839559,0.309811282240251,0.864870328584549,0.537306360651137
"67",1.09896422904026,0.387696971800507,1.06760979653645,0.914711467923713
"73",1.06564143184396,0.349462088237569,0.925709116419011,0.884477188118801
"64",1.0617129494839,0.436279064871123,1.14802813922615,1.08628069038004
"68",1.04610000421723,0.46264088969524,1.06580756425577,1.19852217154985
"79",1.04183490794527,0.418391971270779,0.990337813846196,1.13688808564891
"62",1.04063794847619,0.416422484847021,0.789471680861664,1.04906942809858
"69",1.00684488184415,0.463583252541606,0.747849127994471,0.58316102450726
"86",1.00321737192297,0.376927589247882,0.646302361924867,0.483963952418942
"80",1.0016788483374,0.331789545892176,0.592991078474811,0.500739088466023
"74",0.973585447266564,0.333870322773506,0.599150633626845,0.459732965649362
"84",0.962359373304688,0.246743753534901,0.619432002376919,0.484308554096931
"88",0.960893122706087,0.247939022313061,0.631836901146689,0.491621705228245
"89",0.927992082940582,0.248867123882472,0.646152007833482,0.500230837297842
"75",0.915076999173701,0.2461337844642,0.6274054708482,0.511788711608534
"87",0.906590368430143,0.287131453257779,0.727478798159028,0.586359354680013
"90",0.902434176659091,0.246452615001182,0.662008399526873,0.553730843860964
"81",0.897819595943305,0.227090711979392,0.644864485512212,0.5532577166555
"70",0.885912373830289,0.336079470656271,0.806948004963832,0.546170921967052
"95",0.877729685648359,0.341081340418625,1.00718700838394,0.853590179940161
"63",0.865289821521807,0.369026730774247,1.06269320474811,0.960195849004277
"85",0.850822353596515,0.388350687693494,1.15494401289725,1.00280206412225
"76",0.840621962025018,0.38792239383206,1.15541108400515,1.02479099798106
"98",0.832079888990088,0.390031518682487,1.17910408169708,1.03562465815873
"72",0.825228805841999,0.394401511185362,1.27702868944745,1.19046140256399
"96",0.817485695827374,0.321146975728929,0.749037707645664,0.481845653889767
"99",0.789703167604589,0.298082260639621,0.887181650067148,0.420283021345821
"77",0.77853055585225,0.291292710135584,0.903509092912736,0.39388352321024
"97",0.774365453712942,0.339741729350004,1.04239853632289,0.458812480977617
"91",0.768280662234885,0.339714944418129,1.03799327148957,0.44370093248561
"71",0.755970493468507,0.0691835088866453,0.723375263985871,0.383535703350085
"82",0.746887858092702,0.0608088087243991,0.660045766903973,0.566695695226209
"102",0.734912323156389,0.0487299509601704,0.994136799232403,0.571180341509019
"100",0.688822948330813,0.0457687947638878,1.00159763993718,0.553509035272954
"92",0.678637407373076,0.045832644014268,0.995247601774656,0.556523012329763
"78",0.659603870736947,0.0564107250778264,1.17502994095464,0.584289735860317
"93",0.630442215516288,0.0559152657436541,1.16636416170679,0.591223308627467
"101",0.602716119625792,0.0677893637947059,1.53015994503938,0.698378544467608
"94",0.548918286217698,0.101662488358416,2.27097160673145,1.0094263649639
"83",0.520769442855492,0.195300663784391,4.51828510845212,0.184723848088706
"103",0.505743591852812,0,0,0
