wing	char	method	rgtp	rltp	R
fw	color_saturation	mean	8570	1430	10000
fw	color_brightness	mean	3265	6735	10000
fw	color_richness	mean	7852	2037	10000
fw	color_evenness	mean	582	9418	10000
fw	distinctive_from_wing_base	mean	1833	8167	10000
fw	color_saturation	var	8858	1142	10000
fw	color_brightness	var	1192	8808	10000
fw	color_richness	var	9997	3	10000
fw	color_evenness	var	110	9890	10000
fw	distinctive_from_wing_base	var	7858	2142	10000
hw	color_saturation	mean	9999	1	10000
hw	color_brightness	mean	4214	5786	10000
hw	color_richness	mean	10000	0	10000
hw	color_evenness	mean	7003	2997	10000
hw	distinctive_from_wing_base	mean	4774	5226	10000
hw	color_saturation	var	9605	395	10000
hw	color_brightness	var	9108	892	10000
hw	color_richness	var	9856	140	10000
hw	color_evenness	var	7532	2468	10000
hw	distinctive_from_wing_base	var	9289	711	10000
