wing	axis	character	lm_alpha	lm_beta	p	sig	r2	adj_r2	F
fw	pc1	hsv_saturation	92.13337195765624	10.81471458352309	1.5602509235111128e-05	***	0.5326130156875297	0.5139175363150309	28.488866483467007
fw	pc1	hsv_brightness	151.7950194495714	-2.902609595960253	0.23590884750571148		0.05571228228964242	0.01794077358122812	1.4749816513744836
fw	pc1	rgb_red	151.725237504345	-2.901861980595468	0.23744916441506628		0.05535770063363776	0.01757200865898327	1.4650439820122891
fw	pc1	rgb_green	125.09617172356639	-6.148274047614854	0.0020965115790261635	**	0.3201713242361972	0.2929781772056451	11.77397098895827
fw	pc1	rgb_blue	96.94906973852848	-8.468300611172134	2.6763264490571457e-05	***	0.5126483043264661	0.4931542364995248	26.297656747555337
fw	pc1	color_distinct_num	15.25925925925926	1.1944444444444444	0.008931501890304745	**	0.2433463968179692	0.21308025269068798	8.040218000502483
fw	pc1	color_evenness	0.7068456723367995	-0.023895007885021406	0.0009707954398260222	***	0.35837785488191287	0.3327129690771894	13.963742430365908
fw	pc1	proxy_area	3664.5555555555557	601.8055555555557	1.2846060036315837e-05	***	0.5396140937699234	0.5211986575207204	29.302270468519325
fw	pc1	proxy_aspect_ratio	2.4712973928351434	-0.5093437966560781	1.4711851800068606e-06	***	0.6111803573983978	0.5956275716943338	39.29716315956772
fw	pc1	misc_special_on_edge	0.15628784248193128	0.0015350294886415671	0.6524370736419542		0.008243238156870114	-0.031427032316855084	0.20779384809916737
fw	pc1	misc_convex_ratio	0.005920181747673454	-0.0024669776546653098	0.1298909439813714		0.08934434562390892	0.05291811944886527	2.4527477865692426
fw	pc2	hsv_saturation	92.13337195765624	0.9020039121514366	0.7629568007103312		0.003705087707157717	-0.036146708784555975	0.09297166083662257
fw	pc2	hsv_brightness	151.7950194495714	5.562433828276068	0.01784183417321047	*	0.20459895525167915	0.17278291346174632	6.430685394574069
fw	pc2	rgb_red	151.725237504345	5.510097369356246	0.0194820385315011	*	0.19959197905612303	0.16757565821836795	6.23406980669544
fw	pc2	rgb_green	125.09617172356639	3.1557804621739733	0.14166661007601994		0.08435086959123816	0.04772490437488769	2.3030347212141864
fw	pc2	rgb_blue	96.94906973852848	2.5496302050314767	0.2801878778747155		0.046470932094035966	0.008329769377797405	1.2183931685504417
fw	pc2	color_distinct_num	15.25925925925926	0.6388888888888888	0.1835555993628712		0.06962154890032757	0.03240641085634067	1.8707857221445074
fw	pc2	color_evenness	0.7068456723367995	0.003266331211027053	0.6849092115393971		0.006696490403568012	-0.03303564998028927	0.16854089255882804
fw	pc2	proxy_area	3664.5555555555557	434.8888888888888	0.004388547758122114	**	0.28179126243416197	0.25306291293152844	9.808821854117648
fw	pc2	proxy_aspect_ratio	2.4712973928351434	-0.26832496064037187	0.03280057621564088	*	0.1696170455777395	0.13640172740084908	5.106591021480885
fw	pc2	misc_special_on_edge	0.15628784248193128	0.009064581662011746	0.0039435546705412685	**	0.28744842487749156	0.25894636187259124	10.085179617632262
fw	pc2	misc_convex_ratio	0.005920181747673454	0.002161975884068875	0.18686343587046805		0.06861804356897871	0.031362765311737865	1.8418341448206033
fw	pc3	hsv_saturation	92.13337195765624	-3.5556085613085764	0.22801702202483629		0.057571764106112866	0.019874634670357383	1.5272187821151832
fw	pc3	hsv_brightness	151.7950194495714	-9.845279274502923	5.319970857426452e-07	***	0.6409583012191891	0.6265966332679567	44.629795327094065
fw	pc3	rgb_red	151.725237504345	-9.896868118057961	4.78982687490808e-07	***	0.6439024889350642	0.6296585884924668	45.205489292064044
fw	pc3	rgb_green	125.09617172356639	-6.7928378780220875	0.0004893018021606421	***	0.39082154494411203	0.3664544067418765	16.038877512019734
fw	pc3	rgb_blue	96.94906973852848	-4.032413886436495	0.0818017201547231	.	0.11624042676220048	0.0808900438326885	3.2882367071944243
fw	pc3	color_distinct_num	15.25925925925926	-1.25	0.0058396602238000965	**	0.26650970987365463	0.2371700982686008	9.083614107139299
fw	pc3	color_evenness	0.7068456723367995	-0.004317830843249674	0.5912128949467912		0.011701945141461167	-0.027829977052880386	0.29601255117152525
fw	pc3	proxy_area	3664.5555555555557	-223.05555555555554	0.169464008059783		0.07413050999975368	0.03709573039974383	2.001645771903925
fw	pc3	proxy_aspect_ratio	2.4712973928351434	0.10995711098975237	0.4000552406586445		0.0284835415465301	-0.010377116791608694	0.7329660063575324
fw	pc3	misc_special_on_edge	0.15628784248193128	-0.004024490454486424	0.23184277424556524		0.05666125698936564	0.01892770726894026	1.5016148072253728
fw	pc3	misc_convex_ratio	0.005920181747673454	0.0012471025633257284	0.45185086519845863		0.022831843796367823	-0.016254882451777468	0.5841329266467096
